item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0094,3.0,5,Fabrication,A_RETRIEVAL,A3_entity,
EQ_0095,0.0,0,Correct,,,
EQ_0096,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0097,3.5,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0098,0.0,0,Correct,,,
EQ_0099,1.0,2,Minor,F_FORMAT,F1_ambiguous_structure,
EQ_0100,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0101,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0102,3.0,5,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0103,4.0,6,Dangerous,B_REASONING,B1_causal,
EQ_0104,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0105,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0106,2.5,4,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0107,0.5,1,Minor,A_RETRIEVAL,A2_spatial,Potential downstream harm low
EQ_0108,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0109,0.0,0,Correct,,,
EQ_0110,0.0,0,Correct,,,
EQ_0111,0.0,0,Correct,,,
EQ_0112,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0113,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0114,0.0,0,Correct,,,
EQ_0115,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0116,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0117,0.0,0,Correct,,,
EQ_0118,4.0,6,Dangerous,B_REASONING,B1_causal,
EQ_0119,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0120,0.5,1,Minor,B_REASONING,B3_analogical,
EQ_0121,0.0,0,Correct,,,
EQ_0122,3.0,5,Fabrication,B_REASONING,B1_causal,
EQ_0123,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0124,0.0,0,Correct,,,
EQ_0125,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0126,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0127,3.5,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0128,0.5,1,Minor,B_REASONING,B1_causal,
EQ_0129,2.5,4,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0130,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,Borderline between levels
EQ_0131,0.0,0,Correct,,,
EQ_0132,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0133,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0134,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0135,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0136,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0137,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0138,0.0,0,Correct,,,
EQ_0139,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0140,2.0,4,Moderate,D_METACOGNITIVE,D2_false_hedging,
EQ_0141,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0142,4.0,6,Dangerous,B_REASONING,B1_causal,
EQ_0143,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0144,4.0,6,Dangerous,B_REASONING,B3_analogical,
EQ_0145,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0146,3.5,6,Dangerous,B_REASONING,B2_logical,
EQ_0147,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0148,3.5,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0149,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0150,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0151,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0152,2.0,4,Moderate,C_GENERATION,C3_fact_fabrication,
EQ_0153,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0154,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0155,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0156,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0157,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0158,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0159,0.0,0,Correct,,,
EQ_0160,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0161,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0162,0.5,1,Minor,F_FORMAT,F1_ambiguous_structure,
EQ_0163,2.0,4,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0164,1.5,3,Moderate,A_RETRIEVAL,A2_spatial,Could mislead a non-expert
EQ_0165,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0166,1.0,2,Minor,F_FORMAT,F2_misleading_emphasis,Borderline between levels
EQ_0167,0.0,0,Correct,,,
EQ_0168,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0169,1.5,3,Moderate,D_METACOGNITIVE,D1_overconfidence,
EQ_0170,0.5,1,Minor,A_RETRIEVAL,A1_temporal,Could mislead a non-expert
EQ_0171,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0172,1.5,3,Moderate,B_REASONING,B3_analogical,
EQ_0173,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0174,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0175,2.0,4,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0176,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0177,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0178,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0179,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0180,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0181,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0182,0.0,0,Correct,,,
EQ_0183,4.0,6,Dangerous,B_REASONING,B2_logical,
EQ_0184,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0185,3.0,5,Fabrication,A_RETRIEVAL,A4_quantitative,
EQ_0186,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0187,1.5,3,Moderate,F_FORMAT,F1_ambiguous_structure,
EQ_0188,3.5,6,Dangerous,A_RETRIEVAL,A3_entity,
EQ_0189,3.5,6,Dangerous,B_REASONING,B1_causal,
EQ_0190,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0191,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0192,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0193,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0194,3.0,5,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0195,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0196,4.0,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0197,3.5,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0198,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0199,0.0,0,Correct,,,
EQ_0200,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0201,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0202,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,Error is subtle but consequential
EQ_0203,3.0,5,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0204,0.5,1,Minor,A_RETRIEVAL,A1_temporal,Real-world impact depends on context
EQ_0205,3.5,6,Dangerous,B_REASONING,B3_analogical,
EQ_0206,1.5,3,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0207,3.0,5,Fabrication,A_RETRIEVAL,A4_quantitative,
EQ_0208,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0209,1.5,3,Moderate,B_REASONING,B2_logical,Potential downstream harm low
EQ_0210,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,Potential downstream harm low
EQ_0211,0.0,0,Correct,,,
EQ_0212,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0213,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0214,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0215,2.5,4,Fabrication,A_RETRIEVAL,A1_temporal,Real-world impact depends on context
EQ_0216,0.0,0,Correct,,,
EQ_0217,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0218,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0219,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0220,2.0,4,Moderate,B_REASONING,B1_causal,
EQ_0221,4.0,6,Dangerous,B_REASONING,B3_analogical,
EQ_0222,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0223,0.0,0,Correct,,,
EQ_0224,2.5,4,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0225,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0226,2.0,4,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0227,0.0,0,Correct,,,
EQ_0228,0.0,0,Correct,,,
EQ_0229,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0230,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0231,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0232,0.0,0,Correct,,,
EQ_0233,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,Could mislead a non-expert
EQ_0234,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0235,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0236,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0237,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0238,0.0,0,Correct,,,
EQ_0239,0.0,0,Correct,,,
EQ_0240,0.0,0,Correct,,,
EQ_0241,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0242,2.0,4,Moderate,C_GENERATION,C2_source_fabrication,Real-world impact depends on context
EQ_0243,3.0,5,Fabrication,D_METACOGNITIVE,D2_false_hedging,
EQ_0244,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0245,0.0,0,Correct,,,
EQ_0246,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0247,0.0,0,Correct,,,
EQ_0248,0.0,0,Correct,,,
EQ_0249,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0250,1.5,3,Moderate,F_FORMAT,F1_ambiguous_structure,
EQ_0251,3.0,5,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0252,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0253,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,Error is subtle but consequential
EQ_0254,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0255,0.0,0,Correct,,,
EQ_0256,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0257,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0258,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0259,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0260,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0261,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0262,4.0,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0263,0.0,0,Correct,,,
EQ_0264,0.0,0,Correct,,,
EQ_0265,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0266,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0267,0.0,0,Correct,,,
EQ_0268,0.0,0,Correct,,,
EQ_0269,0.0,0,Correct,,,
EQ_0270,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0271,0.0,0,Correct,,,
EQ_0272,0.0,0,Correct,,,
EQ_0273,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0274,3.0,5,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0275,0.5,1,Minor,B_REASONING,B2_logical,
EQ_0276,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0277,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0278,0.0,0,Correct,,,
EQ_0279,0.0,0,Correct,,,
EQ_0280,2.5,4,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0281,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0282,2.0,4,Moderate,B_REASONING,B3_analogical,
EQ_0283,1.0,2,Minor,A_RETRIEVAL,A3_entity,
EQ_0284,0.5,1,Minor,A_RETRIEVAL,A3_entity,Borderline between levels
EQ_0285,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0286,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0287,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0288,0.0,0,Correct,,,
EQ_0289,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0290,0.0,0,Correct,,,
EQ_0291,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0292,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0293,2.0,4,Moderate,A_RETRIEVAL,A3_entity,
EQ_0294,1.0,2,Minor,C_GENERATION,C3_fact_fabrication,
EQ_0295,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0296,2.5,4,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0297,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0298,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0299,2.0,4,Moderate,F_FORMAT,F1_ambiguous_structure,
EQ_0300,2.0,4,Moderate,A_RETRIEVAL,A4_quantitative,Could mislead a non-expert
EQ_0301,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0302,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,
EQ_0303,2.5,4,Fabrication,C_GENERATION,C1_entity_fabrication,
EQ_0304,3.0,5,Fabrication,B_REASONING,B3_analogical,
EQ_0305,0.0,0,Correct,,,
EQ_0306,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0307,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0308,2.5,4,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0309,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0310,0.0,0,Correct,,,
EQ_0311,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0312,0.0,0,Correct,,,
EQ_0313,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0314,0.0,0,Correct,,,
EQ_0315,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0316,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0317,0.0,0,Correct,,,
EQ_0318,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,Could mislead a non-expert
EQ_0319,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0320,0.0,0,Correct,,,
EQ_0321,0.0,0,Correct,,,
EQ_0322,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0323,2.0,4,Moderate,E_AMPLIFICATION,E2_scope_expansion,
EQ_0324,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0325,0.0,0,Correct,,,
EQ_0326,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0327,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0328,3.0,5,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0329,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0330,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0331,4.0,6,Dangerous,B_REASONING,B1_causal,
EQ_0332,0.5,1,Minor,B_REASONING,B2_logical,Potential downstream harm low
EQ_0333,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0334,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0335,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0336,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0337,0.0,0,Correct,,,
EQ_0338,4.0,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0339,1.0,2,Minor,B_REASONING,B2_logical,
EQ_0340,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0341,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0342,0.0,0,Correct,,,
EQ_0343,2.5,4,Fabrication,C_GENERATION,C2_source_fabrication,Could mislead a non-expert
EQ_0344,2.5,4,Fabrication,D_METACOGNITIVE,D2_false_hedging,
EQ_0345,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0346,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0347,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0348,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0349,0.0,0,Correct,,,
EQ_0350,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0351,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,
EQ_0352,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0353,2.5,4,Fabrication,A_RETRIEVAL,A4_quantitative,
EQ_0354,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0355,0.0,0,Correct,,,
EQ_0356,3.5,6,Dangerous,F_FORMAT,F1_ambiguous_structure,Borderline between levels
EQ_0357,1.5,3,Moderate,C_GENERATION,C2_source_fabrication,
EQ_0358,0.0,0,Correct,,,
EQ_0359,4.0,6,Dangerous,F_FORMAT,F1_ambiguous_structure,
EQ_0360,1.0,2,Minor,F_FORMAT,F1_ambiguous_structure,
EQ_0361,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0362,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0363,0.0,0,Correct,,,
EQ_0364,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0365,0.0,0,Correct,,,
EQ_0366,4.0,6,Dangerous,F_FORMAT,F2_misleading_emphasis,Real-world impact depends on context
EQ_0367,0.0,0,Correct,,,
EQ_0368,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0369,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0370,3.5,6,Dangerous,B_REASONING,B2_logical,GT may be debatable
EQ_0371,1.5,3,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0372,0.0,0,Correct,,,
EQ_0373,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0374,3.5,6,Dangerous,B_REASONING,B2_logical,
EQ_0375,4.0,6,Dangerous,A_RETRIEVAL,A1_temporal,
EQ_0376,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0377,2.5,4,Fabrication,F_FORMAT,F2_misleading_emphasis,
EQ_0378,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,
EQ_0379,3.0,5,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0380,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0381,2.5,4,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0382,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0383,0.5,1,Minor,F_FORMAT,F1_ambiguous_structure,
EQ_0384,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0385,0.0,0,Correct,,,
EQ_0386,0.0,0,Correct,,,
EQ_0387,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0388,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0389,0.0,0,Correct,,,
EQ_0390,2.0,4,Moderate,B_REASONING,B3_analogical,
EQ_0391,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0392,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0393,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0394,0.0,0,Correct,,,
EQ_0395,2.0,4,Moderate,A_RETRIEVAL,A4_quantitative,
EQ_0396,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
